num_solutions,count
1,328
2,646
3,376
4,679
5,127
6,550
7,70
8,568
9,138
10,209
11,23
12,515
13,25
14,68
15,63
16,352
17,11
18,221
19,2
20,145
21,41
22,29
23,2
24,376
25,4
26,13
27,43
28,42
30,75
31,1
32,184
33,8
34,9
36,195
39,3
40,71
42,26
43,1
44,15
45,12
48,233
51,2
54,36
60,45
63,4
64,73
66,8
72,118
81,2
90,14
96,86
108,28
135,2
144,64
162,4
216,11
324,6
