num_solutions,count
1,13581
2,9549
3,5869
4,2983
5,1473
6,895
7,490
8,258
9,340
10,260
11,280
12,208
13,235
14,68
15,67
16,50
17,55
18,56
19,29
20,27
21,21
22,6
23,6
24,8
25,3
44,3
48,6
61,8
62,2
64,2
65,7
68,11
69,7
72,8
76,4
89,8
91,8
92,8
93,8
